Codes,Titles,Number of US Businesses
92,Public Administration,"290,120"
921110,Executive Offices,"45,726"
921120,Legislative Bodies,"10,033"
921130,Public Finance Activities,"7,997"
921140,"Executive and Legislative Offices, Combined",379
921150,American Indian and Alaska Native Tribal Governments,"1,099"
921190,Other General Government Support,"19,279"
922110,Courts,"17,993"
922120,Police Protection,"21,792"
922130,Legal Counsel and Prosecution,"4,487"
922140,Correctional Institutions,"6,142"
922150,Parole Offices and Probation Offices,"2,001"
922160,Fire Protection,"40,134"
922190,"Other Justice, Public Order, and Safety Activities","3,582"
923110,Administration of Education Programs,"3,271"
923120,Administration of Public Health Programs,"10,084"
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)","10,854"
923140,Administration of Veterans' Affairs,"1,927"
924110,Administration of Air and Water Resource and Solid Waste Management Programs,"8,338"
924120,Administration of Conservation Programs,"17,669"
925110,Administration of Housing Programs,"6,889"
925120,Administration of Urban Planning and Community and Rural Development,"2,977"
926110,Administration of General Economic Programs,"3,260"
926120,Regulation and Administration of Transportation Programs,"12,252"
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities","1,725"
926140,Regulation of Agricultural Marketing and Commodities,"7,010"
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors","4,340"
927110,Space Research and Technology,201
928110,National Security,"16,304"
928120,International Affairs,"2,375"
