Codes,Titles,Number of US Businesses
22,Utilities,"34,839"
221111,Hydroelectric Power Generation,69
221112,Fossil Fuel Electric Power Generation,164
221113,Nuclear Electric Power Generation,33
221114,Solar Electric Power Generation,404
221115,Wind Electric Power Generation,238
221116,Geothermal Electric Power Generation,121
221117,Biomass Electric Power Generation,117
221118,Other Electric Power Generation,"10,405"
221121,Electric Bulk Power Transmission and Control,284
221122,Electric Power Distribution,"2,009"
221210,Natural Gas Distribution,"3,826"
221310,Water Supply and Irrigation Systems,"14,554"
221320,Sewage Treatment Facilities,"2,181"
221330,Steam and Air-Conditioning Supply,434
