Codes,Titles,Number of US Businesses
42,Wholesale Trade,"744,139"
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,"9,865"
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,"22,434"
423130,Tire and Tube Merchant Wholesalers,"3,944"
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,"4,675"
423210,Furniture Merchant Wholesalers,"12,487"
423220,Home Furnishing Merchant Wholesalers,"18,574"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","20,954"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","11,795"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","3,164"
423390,Other Construction Material Merchant Wholesalers,"4,151"
423410,Photographic Equipment and Supplies Merchant Wholesalers,998
423420,Office Equipment Merchant Wholesalers,"5,817"
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,"14,740"
423440,Other Commercial Equipment Merchant Wholesalers,"17,319"
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","20,411"
423460,Ophthalmic Goods Merchant Wholesalers,551
423490,Other Professional Equipment and Supplies Merchant Wholesalers,"4,530"
423510,Metal Service Centers and Other Metal Merchant Wholesalers,"13,302"
423520,Coal and Other Mineral and Ore Merchant Wholesalers,820
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","21,524"
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","5,884"
423690,Other Electronic Parts and Equipment Merchant Wholesalers,"17,103"
423710,Hardware Merchant Wholesalers,"8,495"
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,"10,573"
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,"6,203"
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,"2,457"
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,"10,362"
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,"9,566"
423830,Industrial Machinery and Equipment Merchant Wholesalers,"39,315"
423840,Industrial Supplies Merchant Wholesalers,"23,123"
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,"19,117"
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,"6,397"
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,"9,499"
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,"5,907"
423930,Recyclable Material Merchant Wholesalers,"7,558"
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers","13,870"
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,"46,967"
424110,Printing and Writing Paper Merchant Wholesalers,"1,246"
424120,Stationery and Office Supplies Merchant Wholesalers,"7,902"
424130,Industrial and Personal Service Paper Merchant Wholesalers,"5,195"
424210,Drugs and Druggists' Sundries Merchant Wholesalers,"12,566"
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","5,864"
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,"4,847"
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","9,386"
424340,Footwear Merchant Wholesalers,"6,613"
424410,General Line Grocery Merchant Wholesalers,"9,943"
424420,Packaged Frozen Food Merchant Wholesalers,"1,413"
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,"3,724"
424440,Poultry and Poultry Product Merchant Wholesalers,"1,550"
424450,Confectionery Merchant Wholesalers,"3,130"
424460,Fish and Seafood Merchant Wholesalers,"6,253"
424470,Meat and Meat Product Merchant Wholesalers,"3,343"
424480,Fresh Fruit and Vegetable Merchant Wholesalers,"6,370"
424490,Other Grocery and Related Products Merchant Wholesalers,"25,140"
424510,Grain and Field Bean Merchant Wholesalers,"7,302"
424520,Livestock Merchant Wholesalers,"10,130"
424590,Other Farm Product Raw Material Merchant Wholesalers,"7,119"
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,"2,479"
424690,Other Chemical and Allied Products Merchant Wholesalers,"10,781"
424710,Petroleum Bulk Stations and Terminals,"2,949"
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"13,146"
424810,Beer and Ale Merchant Wholesalers,"2,790"
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,"9,913"
424910,Farm Supplies Merchant Wholesalers,"15,916"
424920,"Book, Periodical, and Newspaper Merchant Wholesalers","9,261"
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers","7,751"
424940,Tobacco and Tobacco Product Merchant Wholesalers,"5,997"
424950,"Paint, Varnish, and Supplies Merchant Wholesalers","5,429"
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,"63,410"
425110,Business to Business Electronic Markets,0
425120,Wholesale Trade Agents and Brokers,830
