Codes,Titles,Number of US Businesses
56,Administrative and Support and Waste Management and Remediation Services,"2,593,912"
561110,Office Administrative Services,"136,658"
561210,Facilities Support Services,"4,751"
561311,Employment Placement Agencies,"28,527"
561312,Executive Search Services,"4,990"
561320,Temporary Help Services,"23,377"
561330,Professional Employer Organizations,718
561410,Document Preparation Services,"4,532"
561421,Telephone Answering Services,"6,174"
561422,Telemarketing Bureaus and Other Contact Centers,"1,490"
561431,Private Mail Centers,"2,079"
561439,Other Business Service Centers (including Copy Shops),"5,313"
561440,Collection Agencies,"5,468"
561450,Credit Bureaus,"1,234"
561491,Repossession Services,"2,150"
561492,Court Reporting and Stenotype Services,"8,181"
561499,All Other Business Support Services,"191,184"
561510,Travel Agencies,"43,205"
561520,Tour Operators,"8,949"
561591,Convention and Visitors Bureaus,"1,220"
561599,All Other Travel Arrangement and Reservation Services,"3,806"
561611,Investigation Services,"10,743"
561612,Security Guards and Patrol Services,"17,551"
561613,Armored Car Services,"3,958"
561621,Security Systems Services (except Locksmiths),"13,075"
561622,Locksmiths,"11,125"
561710,Exterminating and Pest Control Services,"25,404"
561720,Janitorial Services,"100,521"
561730,Landscaping Services,"125,541"
561740,Carpet and Upholstery Cleaning Services,"16,344"
561790,Other Services to Buildings and Dwellings,"82,423"
561910,Packaging and Labeling Services,"3,426"
561920,Convention and Trade Show Organizers,"3,637"
561990,All Other Support Services,"1,654,740"
562111,Solid Waste Collection,"2,035"
562112,Hazardous Waste Collection,286
562119,Other Waste Collection,259
562211,Hazardous Waste Treatment and Disposal,"3,380"
562212,Solid Waste Landfill,"4,819"
562213,Solid Waste Combustors and Incinerators,36
562219,Other Nonhazardous Waste Treatment and Disposal,"5,085"
562910,Remediation Services,"2,720"
562920,Materials Recovery Facilities,"10,733"
562991,Septic Tank and Related Services,"10,704"
562998,All Other Miscellaneous Waste Management Services,"1,361"
