Codes,Titles,Number of US Businesses
44-45,Retail Trade,"1,744,920"
441110,New Car Dealers,"53,257"
441120,Used Car Dealers,"39,388"
441210,Recreational Vehicle Dealers,"3,410"
441222,Boat Dealers,"7,772"
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers","25,567"
441310,Automotive Parts and Accessories Stores,"41,634"
441320,Tire Dealers,"27,560"
442110,Furniture Stores,"40,927"
442210,Floor Covering Stores,"40,045"
442291,Window Treatment Stores,"4,347"
442299,All Other Home Furnishings Stores,"20,645"
443141,Household Appliance Stores,"12,314"
443142,Electronics Stores,"76,761"
444110,Home Centers,"30,783"
444120,Paint and Wallpaper Stores,"11,678"
444130,Hardware Stores,"22,636"
444190,Other Building Material Dealers,"27,106"
444210,Outdoor Power Equipment Stores,"3,945"
444220,"Nursery, Garden Center, and Farm Supply Stores","14,150"
445110,Supermarkets and Other Grocery (except Convenience) Stores,"106,842"
445120,Convenience Stores,"55,872"
445210,Meat Markets,"7,979"
445220,Fish and Seafood Markets,"2,642"
445230,Fruit and Vegetable Markets,"7,106"
445291,Baked Goods Stores,"24,422"
445292,Confectionery and Nut Stores,"7,493"
445299,All Other Specialty Food Stores,"20,956"
445310,"Beer, Wine, and Liquor Stores","33,529"
446110,Pharmacies and Drug Stores,"58,325"
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","17,289"
446130,Optical Goods Stores,"20,065"
446191,Food (Health) Supplement Stores,"17,049"
446199,All Other Health and Personal Care Stores,"13,335"
447110,Gasoline Stations with Convenience Stores,350
447190,Other Gasoline Stations,"60,517"
448110,Men's Clothing Stores,"12,726"
448120,Women's Clothing Stores,"73,710"
448130,Children's and Infants' Clothing Stores,"7,199"
448140,Family Clothing Stores,"21,345"
448150,Clothing Accessories Stores,"17,588"
448190,Other Clothing Stores,"21,191"
448210,Shoe Stores,"23,738"
448310,Jewelry Stores,"39,686"
448320,Luggage and Leather Goods Stores,"1,687"
451110,Sporting Goods Stores,"51,119"
451120,"Hobby, Toy, and Game Stores","26,483"
451130,"Sewing, Needlework, and Piece Goods Stores","14,072"
451140,Musical Instrument and Supplies Stores,"9,084"
451211,Book Stores,"16,425"
451212,News Dealers and Newsstands,"1,343"
452111,Department Stores (except Discount Department Stores),"11,585"
452112,Discount Department Stores,"12,885"
452910,Warehouse Clubs and Supercenters,"2,014"
452990,All Other General Merchandise Stores,"44,794"
453110,Florists,"29,681"
453210,Office Supplies and Stationery Stores,"8,348"
453220,"Gift, Novelty, and Souvenir Stores","60,618"
453310,Used Merchandise Stores,"41,055"
453910,Pet and Pet Supplies Stores,"19,183"
453920,Art Dealers,"4,052"
453930,Manufactured (Mobile) Home Dealers,"4,478"
453991,Tobacco Stores,"8,949"
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),"128,427"
454111,Electronic Shopping,"2,879"
454112,Electronic Auctions,100
454113,Mail-Order Houses,"17,743"
454210,Vending Machine Operators,"12,099"
454310,Fuel Dealers,"11,679"
454390,Other Direct Selling Establishments,"29,259"
