Codes,Titles,Number of US Businesses
72,Accommodation and Food Services,"815,095"
721110,Hotels (except Casino Hotels) and Motels,"85,779"
721120,Casino Hotels,"1,269"
721191,Bed-and-Breakfast Inns,"14,812"
721199,All Other Traveler Accommodation,"4,326"
721211,RV (Recreational Vehicle) Parks and Campgrounds,"10,840"
721214,Recreational and Vacation Camps (except Campgrounds),"4,599"
721310,Rooming and Boarding Houses,"3,150"
722310,Food Service Contractors,"1,595"
722320,Caterers,"27,262"
722330,Mobile Food Services,"2,980"
722410,Drinking Places (Alcoholic Beverages),"60,729"
722511,Full-Service Restaurants,"329,773"
722513,Limited-Service Restaurants,"263,685"
722514,"Cafeterias, Grill Buffets, and Buffets","3,220"
722515,Snack and Nonalcoholic Beverage Bars,"1,076"
