Codes,Titles,Number of US Businesses
81,Other Services (except Public Administration),"1,775,590"
811111,General Automotive Repair,"139,984"
811112,Automotive Exhaust System Repair,"6,809"
811113,Automotive Transmission Repair,"8,024"
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,"33,729"
811121,"Automotive Body, Paint, and Interior Repair and Maintenance","51,497"
811122,Automotive Glass Replacement Shops,"5,762"
811191,Automotive Oil Change and Lubrication Shops,"5,130"
811192,Car Washes,"27,619"
811198,All Other Automotive Repair and Maintenance,"15,532"
811211,Consumer Electronics Repair and Maintenance,"6,998"
811212,Computer and Office Machine Repair and Maintenance,"14,075"
811213,Communication Equipment Repair and Maintenance,"1,142"
811219,Other Electronic and Precision Equipment Repair and Maintenance,"16,875"
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"44,256"
811411,Home and Garden Equipment Repair and Maintenance,"5,937"
811412,Appliance Repair and Maintenance,"61,279"
811420,Reupholstery and Furniture Repair,"13,429"
811430,Footwear and Leather Goods Repair,"4,064"
811490,Other Personal and Household Goods Repair and Maintenance,"32,490"
812111,Barber Shops,"32,964"
812112,Beauty Salons,"239,677"
812113,Nail Salons,"47,028"
812191,Diet and Weight Reducing Centers,"2,146"
812199,Other Personal Care Services,"46,315"
812210,Funeral Homes and Funeral Services,"21,713"
812220,Cemeteries and Crematories,"14,353"
812310,Coin-Operated Laundries and Drycleaners,"13,639"
812320,Drycleaning and Laundry Services (except Coin-Operated),"27,909"
812331,Linen Supply,"2,021"
812332,Industrial Launderers,"1,120"
812910,Pet Care (except Veterinary) Services,"32,856"
812921,Photofinishing Laboratories (except One-Hour),"5,127"
812922,One-Hour Photofinishing,0
812930,Parking Lots and Garages,"5,373"
812990,All Other Personal Services,"74,032"
813110,Religious Organizations,"364,506"
813211,Grantmaking Foundations,"6,180"
813212,Voluntary Health Organizations,"1,527"
813219,Other Grantmaking and Giving Services,524
813311,Human Rights Organizations,0
813312,"Environment, Conservation and Wildlife Organizations","3,111"
813319,Other Social Advocacy Organizations,"27,905"
813410,Civic and Social Organizations,"166,594"
813910,Business Associations,"30,955"
813920,Professional Organizations,"21,713"
813930,Labor Unions and Similar Labor Organizations,"18,128"
813940,Political Organizations,"2,905"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","70,638"
814110,Private Households,0
