Codes,Titles,Number of US Businesses
71,"Arts, Entertainment, and Recreation","310,018"
711110,Theater Companies and Dinner Theaters,"2,637"
711120,Dance Companies,217
711130,Musical Groups and Artists,"8,882"
711190,Other Performing Arts Companies,"16,032"
711211,Sports Teams and Clubs,"4,627"
711212,Racetracks,"4,428"
711219,Other Spectator Sports,"11,458"
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","5,443"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities","1,765"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","9,035"
711510,"Independent Artists, Writers, and Performers","51,212"
712110,Museums,"22,330"
712120,Historical Sites,"2,625"
712130,Zoos and Botanical Gardens,"1,457"
712190,Nature Parks and Other Similar Institutions,"3,142"
713110,Amusement and Theme Parks,"2,782"
713120,Amusement Arcades,"2,203"
713210,Casinos (except Casino Hotels),376
713290,Other Gambling Industries,679
713910,Golf Courses and Country Clubs,"14,536"
713920,Skiing Facilities,369
713930,Marinas,"6,467"
713940,Fitness and Recreational Sports Centers,"111,094"
713950,Bowling Centers,"5,599"
713990,All Other Amusement and Recreation Industries,"20,623"
