Codes,Titles,Number of US Businesses
53,Real Estate Rental and Leasing,"788,288"
531110,Lessors of Residential Buildings and Dwellings,"125,977"
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),"22,484"
531130,Lessors of Miniwarehouses and Self-Storage Units,"13,080"
531190,Lessors of Other Real Estate Property,"32,724"
531210,Offices of Real Estate Agents and Brokers,"305,801"
531311,Residential Property Managers,"4,420"
531312,Nonresidential Property Managers,"135,467"
531320,Offices of Real Estate Appraisers,"23,532"
531390,Other Activities Related to Real Estate,"5,610"
532111,Passenger Car Rental,"14,226"
532112,Passenger Car Leasing,"1,133"
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","20,357"
532210,Consumer Electronics and Appliances Rental,"7,060"
532220,Formal Wear and Costume Rental,"2,011"
532230,Video Tape and Disc Rental,"6,878"
532291,Home Health Equipment Rental,"2,726"
532292,Recreational Goods Rental,"2,389"
532299,All Other Consumer Goods Rental,"11,401"
532310,General Rental Centers,629
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing","1,627"
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","5,525"
532420,Office Machinery and Equipment Rental and Leasing,811
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,"38,591"
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"3,829"
