Codes,Titles,Number of US Businesses
23,Construction,"1,435,430"
236115,New Single-Family Housing Construction (except For-Sale Builders),"343,025"
236116,New Multifamily Housing Construction (except For-Sale Builders),"33,403"
236117,New Housing For-Sale Builders,"8,276"
236118,Residential Remodelers,"85,021"
236210,Industrial Building Construction,"8,690"
236220,Commercial and Institutional Building Construction,"59,205"
237110,Water and Sewer Line and Related Structures Construction,"16,789"
237120,Oil and Gas Pipeline and Related Structures Construction,"2,810"
237130,Power and Communication Line and Related Structures Construction,"2,856"
237210,Land Subdivision,"32,995"
237310,"Highway, Street, and Bridge Construction","28,090"
237990,Other Heavy and Civil Engineering Construction,"8,198"
238110,Poured Concrete Foundation and Structure Contractors,"34,314"
238120,Structural Steel and Precast Concrete Contractors,"3,062"
238130,Framing Contractors,"40,111"
238140,Masonry Contractors,"24,413"
238150,Glass and Glazing Contractors,"6,615"
238160,Roofing Contractors,"40,131"
238170,Siding Contractors,"4,559"
238190,"Other Foundation, Structure, and Building Exterior Contractors","1,871"
238210,Electrical Contractors and Other Wiring Installation Contractors,"122,197"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","178,959"
238290,Other Building Equipment Contractors,"2,852"
238310,Drywall and Insulation Contractors,"30,858"
238320,Painting and Wall Covering Contractors,"90,677"
238330,Flooring Contractors,"18,005"
238340,Tile and Terrazzo Contractors,"21,664"
238350,Finish Carpentry Contractors,"9,304"
238390,Other Building Finishing Contractors,"8,881"
238910,Site Preparation Contractors,"41,479"
238990,All Other Specialty Trade Contractors,"126,120"
