Codes,Titles,Number of US Businesses
54,"Professional, Scientific, and Technical Services","2,238,785"
541110,Offices of Lawyers,"327,063"
541120,Offices of Notaries,"5,024"
541191,Title Abstract and Settlement Offices,"10,114"
541199,All Other Legal Services,"3,732"
541211,Offices of Certified Public Accountants,"58,107"
541213,Tax Preparation Services,"60,618"
541214,Payroll Services,"2,002"
541219,Other Accounting Services,"62,065"
541310,Architectural Services,"40,589"
541320,Landscape Architectural Services,"72,933"
541330,Engineering Services,"98,617"
541340,Drafting Services,"1,603"
541350,Building Inspection Services,"4,887"
541360,Geophysical Surveying and Mapping Services,0
541370,Surveying and Mapping (except Geophysical) Services,"12,475"
541380,Testing Laboratories,"9,375"
541410,Interior Design Services,"39,314"
541420,Industrial Design Services,"1,904"
541430,Graphic Design Services,"38,117"
541490,Other Specialized Design Services,"2,062"
541511,Custom Computer Programming Services,"86,957"
541512,Computer Systems Design Services,"80,769"
541513,Computer Facilities Management Services,"1,178"
541519,Other Computer Related Services,"4,585"
541611,Administrative Management and General Management Consulting Services,"195,917"
541612,Human Resources Consulting Services,"12,946"
541613,Marketing Consulting Services,"50,160"
541614,"Process, Physical Distribution, and Logistics Consulting Services","3,367"
541618,Other Management Consulting Services,"358,143"
541620,Environmental Consulting Services,"19,248"
541690,Other Scientific and Technical Consulting Services,"40,528"
541711,Research and Development in Biotechnology,"2,734"
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","23,610"
541720,Research and Development in the Social Sciences and Humanities,"16,510"
541810,Advertising Agencies,"23,520"
541820,Public Relations Agencies,"17,647"
541830,Media Buying Agencies,"1,022"
541840,Media Representatives,"4,364"
541850,Outdoor Advertising,"2,805"
541860,Direct Mail Advertising,"5,732"
541870,Advertising Material Distribution Services,"1,408"
541890,Other Services Related to Advertising,"10,674"
541910,Marketing Research and Public Opinion Polling,"12,503"
541921,"Photography Studios, Portrait","73,331"
541922,Commercial Photography,"17,203"
541930,Translation and Interpretation Services,"5,770"
541940,Veterinary Services,"44,504"
541990,"All Other Professional, Scientific, and Technical Services","271,049"
