Codes,Titles,Number of US Businesses
55,Management of Companies and Enterprises,"60,068"
551111,Offices of Bank Holding Companies,"2,545"
551112,Offices of Other Holding Companies,"57,523"
551114,"Corporate, Subsidiary, and Regional Managing Offices",0
